path,format,dimensions,bytes,kilobytes
public/apocaleaf/apocaleaf-og.webp,webp,1200x630,63436,61.9
public/apocaleaf/famine-approval-ring.webp,webp,512x512,47034,45.9
public/apocaleaf/field-guide-bg-384.webp,webp,384x688,59140,57.8
public/apocaleaf/field-guide-bg.webp,webp,768x1376,213954,208.9
public/apocaleaf/print-noise.webp,webp,96x96,1070,1.0
public/apocaleaf/standard-issue-mark.webp,webp,512x512,81402,79.5
public/apocaleaf/standard-issue-splash.webp,webp,256x256,21086,20.6
public/apocaleaf/wildflowers-512.webp,webp,512x512,88686,86.6
public/apocaleaf/wildflowers.webp,webp,960x960,264092,257.9
public/caper/aso/campfire-cookbook-360.webp,webp,360x640,28166,27.5
public/caper/aso/campfire-cookbook.webp,webp,720x1279,77294,75.5
public/caper/aso/campfire-phone-360.webp,webp,360x448,20050,19.6
public/caper/aso/campfire-phone.webp,webp,720x895,57310,56.0
public/caper/aso/know-before-you-pick-360.webp,webp,360x640,32256,31.5
public/caper/aso/know-before-you-pick.webp,webp,720x1279,102014,99.6
public/caper/aso/logbook-360.webp,webp,360x640,35746,34.9
public/caper/aso/logbook.webp,webp,720x1279,104692,102.2
public/caper/aso/whats-out-there-360.webp,webp,360x640,33790,33.0
public/caper/aso/whats-out-there.webp,webp,720x1279,105390,102.9
public/caper/caper-feature-graphic.webp,webp,1200x587,137014,133.8
public/caper/caper-icon.webp,webp,160x160,3018,2.9
public/caper/caper-wordmark-480.webp,webp,480x165,32340,31.6
public/caper/caper-wordmark.webp,webp,960x331,79150,77.3
public/caper/seasons/autumn.webp,webp,768x1376,167716,163.8
public/caper/seasons/spring.webp,webp,768x1376,196090,191.5
public/caper/seasons/summer.webp,webp,768x1376,162182,158.4
public/caper/seasons/winter.webp,webp,768x1376,174020,169.9
public/favicon.ico,ico,48x48,15406,15.0
public/icons/icon-Blackberry.webp,webp,160x160,8306,8.1
public/icons/icon-Blueberry.webp,webp,160x160,8062,7.9
public/icons/icon-Coconut.webp,webp,160x160,8040,7.9
public/icons/icon-Cranberry.webp,webp,160x160,8232,8.0
public/icons/icon-Dragonfruit.webp,webp,160x160,8108,7.9
public/icons/icon-Feijoah.webp,webp,160x160,7838,7.7
public/icons/icon-Grapefruit.webp,webp,160x160,8004,7.8
public/icons/icon-Lime.webp,webp,160x160,7108,6.9
public/icons/icon-Nectarine.webp,webp,160x160,8034,7.8
public/icons/icon-Plum.webp,webp,160x160,8042,7.9
public/icons/icon-Tangerine.webp,webp,160x160,8406,8.2
public/icons/icon-Watermelon.webp,webp,160x160,8112,7.9
public/icons/icon-default.webp,webp,160x160,7910,7.7
public/images/Savor.webp,webp,840x263,17158,16.8
public/images/Savor_white.webp,webp,480x150,24990,24.4
public/images/lasagne-800.webp,webp,800x533,36632,35.8
public/images/lasagne.webp,webp,1600x1066,96938,94.7
public/images/logo_W.webp,webp,395x582,14812,14.5
public/images/savor-final-ui.webp,webp,480x148,24032,23.5
public/images/savor-final.webp,webp,1200x369,32686,31.9
public/images/ssss.webp,webp,480x1003,30306,29.6
public/potluck/outer.webp,webp,640x640,69898,68.3
public/potluck/play2.webp,webp,440x121,11302,11.0
public/potluck/potluck-icon.webp,webp,192x192,12160,11.9
public/potluck/potluck-splash.webp,webp,1024x1024,85952,83.9
public/potluck/potluck_wordmark.webp,webp,640x241,66286,64.7
public/potluck/spinner.webp,webp,512x512,24688,24.1
public/screenshots/community-240.webp,webp,240x501,15906,15.5
public/screenshots/community.webp,webp,480x1002,41080,40.1
public/screenshots/found-240.webp,webp,240x501,20458,20.0
public/screenshots/found.webp,webp,480x1002,53350,52.1
public/screenshots/recipe-240.webp,webp,240x501,13044,12.7
public/screenshots/recipe.webp,webp,480x1002,32244,31.5
public/screenshots/savor-scan-640.webp,webp,640x640,92544,90.4
public/screenshots/savor-scan.webp,webp,1000x1000,233550,228.1
public/screenshots/scan-240.webp,webp,240x501,14136,13.8
public/screenshots/scan.webp,webp,480x1002,36590,35.7
